sample_size,delta_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm,n1_prop
1200,0.05,0.9903,0.0042190046219458014,20,9.433981132056612e-4,CpG,Binary (delta; 25_75),CpG_15M,15000000,500,0.25
900,0.01,0.52,0.022895644265138945,20,0.00511962169655039,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
1000,0.01,0.5469,0.019460891957705156,20,0.004351587732020769,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
1100,0.01,0.5787,0.02343434276980327,20,0.005240078344131082,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
1200,0.01,0.6011,0.02360619900744183,20,0.005278506567102799,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
900,0.02,0.8296,0.018835576640188662,20,0.004211762976286894,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
1000,0.02,0.8528,0.018357846450926373,20,0.004104939258477463,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
1100,0.02,0.8665,0.019225805027289992,20,0.004299020696317762,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
1200,0.02,0.8785000000000001,0.012894307189404831,20,0.0028832547398273457,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
900,0.03,0.9399,0.009872343080279178,20,0.0022075230224703904,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
1000,0.03,0.945,0.010612802596268699,20,0.0023730948037043063,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
1100,0.03,0.9508,0.007904695473344681,20,0.0017675436419833583,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
1200,0.03,0.9639,0.00795976725393665,20,0.001779858066487918,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
900,0.05,0.9883,0.0037430637605829664,20,8.36974501277951e-4,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
1000,0.05,0.9903,0.004117996446919562,20,9.208119986414744e-4,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
1100,0.05,0.992,0.0038933141071383045,20,8.705715001320148e-4,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
1200,0.05,0.9938,0.005022056613736945,20,0.0011229659975168214,CpG,Binary (delta; 50_50),CpG_15M,15000000,500,0.5
900,0.01,0.46825,0.018098778673537173,20,0.004047009942375259,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1000,0.01,0.49,0.016584710777669525,20,0.003708454068604246,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1100,0.01,0.5149,0.014356000029329396,20,0.0032100991950569503,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1200,0.01,0.52945,0.016662201156162446,20,0.0037257814439954815,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
900,0.02,0.7904,0.011971017632511228,20,0.00267680091861437,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1000,0.02,0.8084,0.00926453339069852,20,0.002071612644141851,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1100,0.02,0.82775,0.010077985387649865,20,0.0022535060403034665,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1200,0.02,0.84715,0.011613399701705749,20,0.0025968351182889832,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
900,0.03,0.913,0.010848235364625715,20,0.0024257391711220316,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1000,0.03,0.9244,0.00902277819276245,20,0.002017554538491954,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1100,0.03,0.93545,0.007104298180086362,20,0.0015885693663101148,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1200,0.03,0.9409,0.007062875514003862,20,0.0015793069765931403,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
900,0.05,0.9822,0.005482988044372967,20,0.0012260333987036587,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1000,0.05,0.986,0.0045883146774112395,20,0.001025978352085155,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1100,0.05,0.9874499999999999,0.0033478194002726797,20,7.48595175540229e-4,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1200,0.05,0.9904,0.00268328157299975,20,6.000000000000005e-4,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
900,0.01,0.5323,0.01584165063170005,20,0.0035423007688283794,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1000,0.01,0.55875,0.014472751166097917,20,0.003236205542883429,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1100,0.01,0.58585,0.01661728649708836,20,0.003715738220907893,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1200,0.01,0.61025,0.015996298914041612,20,0.003576881176020311,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
900,0.02,0.84585,0.013132021931142223,20,0.002936409372005207,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1000,0.02,0.8607,0.011355962959469458,20,0.0025392705127343395,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1100,0.02,0.8711,0.011670475568716138,20,0.00260959767013998,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1200,0.02,0.8845500000000001,0.010210804391221568,20,0.0022832052723724783,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
900,0.03,0.93995,0.006117059837260966,20,0.001367816161854932,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1000,0.03,0.94765,0.007915840215402863,20,0.0017700356820667378,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1100,0.03,0.95465,0.00494469412603045,20,0.0011056672193747999,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1200,0.03,0.9611,0.006679899148308979,20,0.0014936708578461827,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
900,0.05,0.98895,0.003817894156400058,20,8.537070864609743e-4,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1000,0.05,0.99175,0.0035373942238230765,20,7.909853947683505e-4,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1100,0.05,0.9937,0.0020026298499197202,20,4.478016478190696e-4,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1200,0.05,0.9936,0.0024148662379867816,20,5.399805064707628e-4,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
900,0.01,0.47345,0.017560347077255734,20,0.003926612977323357,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
1000,0.01,0.49119999999999997,0.01809797895084596,20,0.0040468311189451895,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
1100,0.01,0.52095,0.01771848573784187,20,0.003961973856817493,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
1200,0.01,0.53785,0.012970716005071225,20,0.0029003402704183764,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.25
