sample_size,rho_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm
900,0.05,0,0,20,0,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1000,0.05,0.0012000000000000001,0.002546411303445653,20,5.693948773178324e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1100,0.05,0.0023,0.0031970381029288574,20,7.148794524805894e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1200,0.05,0.0037,0.004117996446919558,20,9.208119986414737e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
900,0.07,0.015,0.015927467172350905,20,0.003561489930677298,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1000,0.07,0.0296,0.014989118860377562,20,0.0033516688694628406,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1100,0.07,0.0506,0.024743739240037012,20,0.005532868295825174,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1200,0.07,0.0674,0.026390588434037177,20,0.005901114970472685,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
900,0.1,0.2956,0.04973868556873274,20,0.011121908204317419,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1000,0.1,0.3805,0.04541214769084079,20,0.01015446492409801,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1100,0.1,0.4468,0.03834689310134936,20,0.00857462597005349,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1200,0.1,0.5504,0.04132337174809889,20,0.009240186828824343,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
900,0.15,0.9014,0.02614212168734186,20,0.00584555611689679,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1000,0.15,0.9398,0.020301931461135177,20,0.004539649882163988,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1100,0.15,0.9595,0.013655536760249514,20,0.003053470846516516,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1200,0.15,0.9749,0.009936111703753832,20,0.002221782120162482,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
900,0.18,0.9895,0.007863975156570498,20,0.0017584383023461186,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1000,0.18,0.9933,0.004117996446919562,20,9.208119986414744e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1100,0.18,0.997,0.0030087591427276766,20,6.727789971063076e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1200,0.18,0.9984999999999999,0.0020390916450326877,20,4.559547530644961e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
900,0.2,0.998,0.00205195670417031,20,4.588314677411239e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1000,0.2,0.9991,0.0012096106376585998,20,2.704771612111496e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1100,0.2,0.9998,6.155870112510931e-4,20,1.3764944032233718e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
1200,0.2,1,0,20,0,Region,Continuous (rho; Pearson correlation),Region_20K,20000,500
900,0.05,2e-4,4.103913408340616e-4,20,9.17662935482247e-5,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1000,0.05,1.5000000000000001e-4,3.6634754853252327e-4,20,8.191780219091253e-5,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1100,0.05,2.5e-4,4.442616583193193e-4,20,9.933992677987828e-5,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1200,0.05,2e-4,5.23148363780597e-4,20,1.1697953037312036e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
900,0.07,0.0011,0.0017137217117324383,20,3.831998241951031e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1000,0.07,0.0013,0.001525226471535845,20,3.4105100714362975e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1100,0.07,0.00265,0.002661123624969051,20,5.950453321961455e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1200,0.07,0.0055,0.0036920968225885435,20,8.255779474818964e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
900,0.1,0.0614,0.015984861259131535,20,0.0035743236386320994,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1000,0.1,0.11345,0.03976572843410186,20,0.008891887195344802,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1100,0.1,0.16035,0.033506126698199384,20,0.00749219769598944,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1200,0.1,0.22065,0.0277531885318464,20,0.006205801614957613,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
900,0.15,0.7074,0.04630721212442876,20,0.010354607415872515,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1000,0.15,0.8035,0.030275054869783807,20,0.006769708071137263,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1100,0.15,0.8553499999999999,0.02238720264135882,20,0.005005930693214116,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1200,0.15,0.9073,0.02314735406045365,20,0.005175905717843014,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
900,0.18,0.93315,0.016588756496653454,20,0.0037093587188708386,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1000,0.18,0.9699,0.01191593360522837,20,0.002664483755666478,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1100,0.18,0.98435,0.007706968821855499,20,0.0017233306186140362,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1200,0.18,0.99315,0.0035876249290552895,20,8.022173219140487e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
900,0.2,0.98705,0.005423875095596472,20,0.001212815341522188,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1000,0.2,0.99485,0.0034530688105692793,20,7.721296591417252e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1100,0.2,0.998,0.0014867838833500576,20,3.3245498310218466e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1200,0.2,0.9988,0.001436369692919217,20,3.2118202741878674e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
900,0.05,2.5e-4,5.501196042201809e-4,20,1.2301048307916047e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1000,0.05,5.5e-4,6.863327411532598e-4,20,1.534686664402456e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1100,0.05,7.5e-4,7.16350399411379e-4,20,1.6018081887929686e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1200,0.05,0.0013,0.0018666040089734591,20,4.173853451138282e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
900,0.07,0.0044,0.003299122690400554,20,7.377062601847631e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1000,0.07,0.0095,0.006901563514694944,20,0.0015432365169890264,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1100,0.07,0.0193,0.008046574949694598,20,0.0017992688573564071,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1200,0.07,0.0288,0.011879216702867417,20,0.0026562736067062462,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
900,0.1,0.17815,0.03155992628902071,20,0.0070570140547132985,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1000,0.1,0.2449,0.03978613881875525,20,0.008896451096097992,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1100,0.1,0.3184,0.04127494461088445,20,0.009229358191747623,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1200,0.1,0.40745,0.0393840403155764,20,0.008806539137422109,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
900,0.15,0.8406,0.02290805420301823,20,0.005122396643019853,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1000,0.15,0.89745,0.01934037228183575,20,0.004324638713233746,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1100,0.15,0.94085,0.013480102295410667,20,0.0030142425076189203,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1200,0.15,0.96195,0.011909637848575013,20,0.0026630759816818074,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
900,0.18,0.97155,0.006613184597931307,20,0.0014787530308729016,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1000,0.18,0.98785,0.004826189517948703,20,0.0010791687834430241,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1100,0.18,0.99445,0.0026847522673129672,20,6.003288572458481e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1200,0.18,0.9971,0.0016827296120792627,20,3.7626978003610823e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
900,0.2,0.9943,0.0034197568396167125,20,7.646808759902814e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1000,0.2,0.998,0.002102629932151389,20,4.701623459816276e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1100,0.2,0.9993,9.233805168766395e-4,20,2.0647416048350575e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1200,0.2,0.9999,3.0779350562554653e-4,20,6.882472016116859e-5,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
900,0.05,0.0014,0.001729009451741235,20,3.8661826678330435e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1000,0.05,0.00185,0.002084403234046921,20,4.6608673238493194e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1100,0.05,0.00425,0.0034773704523904116,20,7.775636714494156e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1200,0.05,0.0057,0.003294333252563767,20,7.366353093270566e-4,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
900,0.07,0.0372,0.01258905121628774,20,0.0028149974291845794,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1000,0.07,0.05305,0.011918473056562238,20,0.002665051594247286,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1100,0.07,0.07635,0.01945649668254526,20,0.004350604918617035,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1200,0.07,0.11935,0.024653973737566764,20,0.005512796119269384,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
900,0.1,0.3772,0.05518924380328967,20,0.012340690077096473,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1000,0.1,0.46555,0.03814442775060406,20,0.008529353341318007,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
1100,0.1,0.5417000000000001,0.0381259684950325,20,0.008525225726290801,Region,Continuous (rho; Pearson correlation),Region_20K,20000,1000
