sample_size,rho_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm
1200,0.18,0.9269,0.03133167222173955,20,0.007005974893655149,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,500
900,0.2,0.8922,0.03977780391387297,20,0.008894587354707715,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,500
1000,0.2,0.9507,0.017195776715289848,20,0.0038450925661296146,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,500
1100,0.2,0.9724999999999999,0.01160535266703757,20,0.002595035746635449,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,500
1200,0.2,0.9862,0.007105224171433008,20,0.0015887764242698823,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,500
900,0.05,0,0,20,0,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1000,0.05,5e-5,2.2360679774997898e-4,20,5e-5,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1100,0.05,0,0,20,0,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1200,0.05,1.5000000000000001e-4,3.6634754853252327e-4,20,8.191780219091253e-5,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
900,0.07,1e-4,3.077935056255462e-4,20,6.882472016116852e-5,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1000,0.07,1e-4,3.077935056255462e-4,20,6.882472016116852e-5,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1100,0.07,5e-5,2.2360679774997898e-4,20,5e-5,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1200,0.07,3.0000000000000003e-4,7.326950970650465e-4,20,1.6383560438182506e-4,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
900,0.1,0.00425,0.005003945811478231,20,0.001118916299019067,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1000,0.1,0.009,0.004801315609179151,20,0.0010736068083555394,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1100,0.1,0.01685,0.008412240455056204,20,0.0018810341500579437,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1200,0.1,0.0287,0.009291195606027982,20,0.002077574496732592,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
900,0.15,0.31935,0.048284545854973646,20,0.010796752679442677,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1000,0.15,0.46725,0.04378521139428364,20,0.009790670908681656,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1100,0.15,0.56915,0.04608490448132263,20,0.01030489791568221,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1200,0.15,0.6812,0.045843670285691106,20,0.010250956309689252,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
900,0.18,0.75895,0.051496014153371246,20,0.011514858821722937,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1000,0.18,0.8324,0.03411651861056844,20,0.007628685476886771,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1100,0.18,0.90825,0.020720889535874046,20,0.004633331755647843,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1200,0.18,0.941,0.01766650115778146,20,0.003950349751337808,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
900,0.2,0.9142,0.018944795146897068,20,0.004236184976826996,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1000,0.2,0.95855,0.014207021985068173,20,0.0031767866916446435,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1100,0.2,0.97455,0.00797017466624957,20,0.0017821852346280734,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1200,0.2,0.9882,0.00617805965110662,20,0.0013814561348923034,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
900,0.05,5e-5,2.2360679774997898e-4,20,5e-5,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1000,0.05,2e-4,4.103913408340616e-4,20,9.17662935482247e-5,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1100,0.05,1e-4,4.4721359549995795e-4,20,1e-4,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
